Course Name:,MACHINE LEARNING
Professor:,Dr Goh Pey Yun
Credits:,3
Coursework Weight:,60%
Final Weight:,40%

ID,Title,Type,Category,Score,Max Score,Weight (Points),Deadline,Completed
2026-04-05 19:40:08.865,quiz 1,quiz,coursework,N/A,7.5,7.5,2026-04-20 12:00,No
2026-04-05 19:40:45.169,assi,assignment,coursework,N/A,20,20,2026-05-18 12:00,No
2026-04-05 19:41:52.145,quiz 2,quiz,coursework,N/A,7.5,7.5,2026-05-25 12:00,No
2026-04-05 19:42:17.705,test,midterm,coursework,N/A,25,25,2026-06-08 00:00,No